dur_ns,gap_ns
742,20998716
731,22006945
1142,20997765
622,21008955
601,21976939
602,21004286
592,20997955
601,22011484
601,20993216
601,21009216
692,21993840
691,21008465
862,20985351
601,22007116
732,21000960
742,21002113
741,22000052
742,20993857
781,20996984
781,21997126
1012,21000389
902,21003796
742,22007476
741,21001051
742,21001181
742,21997627
741,21002965
741,21000570
742,21991826
742,21008585
732,21000179
712,21993259
812,20998837
861,21002945
771,22003879
781,21007994
892,21019505
782,21961890
912,21016149
792,20992395
791,22001545
741,21000229
742,21009266
1403,22003639
931,20995100
922,20978558
741,22012145
791,21007553
801,20996713
982,21979533
1192,21026799
1102,20977317
781,22003869
782,21016319
782,20999047
792,21999661
781,20997615
1282,21005429
1022,21986747
792,21002603
791,21006021
782,22000963
1082,21016430
641,20975333
601,21996475
942,20995540
602,21006621
1342,22017746
742,20985571
731,21007594
741,21999921
742,21001141
742,20999127
742,21999611
731,21000691
772,20996782
742,21989492
752,21017642
972,21000671
762,21995503
741,21001011
741,21003155
731,22006173
772,20984780
751,20989109
731,22018176
742,21004557
741,20996944
742,21997877
741,21002855
851,21001111
691,21984222
661,21009096
651,20998075
601,21995924
651,20999308
682,20987164
1343,22014890
712,20981544
712,21003195
892,22032042
1092,20971836
641,21004317
621,22017756
601,21000389
631,20993818
591,21993148
621,21008285
591,20997865
601,21999881
592,20998025
621,20999308
601,22009460
591,21000900
711,21002514
741,22004731
741,20993757
731,21002123
752,21998829
761,20975203
1102,21003225
741,22005151
742,21017121
741,21001412
742,21998799
731,21000430
852,21001231
1262,21992969
1372,20995771
742,20998746
651,22007767
631,21005810
601,21001461
621,21998790
591,20995621
601,21002243
981,22002677
601,20989749
601,21008856
602,22003598
631,20991193
601,21005770
591,21997467
601,21000029
621,20995550
701,22003228
601,21009156
602,20985311
591,22011484
601,20995561
601,21008054
601,21994862
591,21001932
601,20994709
672,22005983
1904,21017652
751,20980022
742,22002516
701,20989580
742,21008775
742,22001214
741,21001472
752,20999638
782,22003769
772,21001121
982,20998827
621,22000212
601,20998356
601,21000800
601,21996526
591,21002183
591,20998646
601,21992828
661,21013445
591,20989359
601,22003398
601,21007683
601,20997605
602,21995192
601,21001853
601,21002694
601,21998980
601,21001772
591,20998336
601,21993550
601,21006050
601,21000009
591,21998930
601,20999919
601,21002694
601,22000132
601,21000089
752,20980672
912,22004370
741,20997174
822,21002694
1472,22010963
1302,20986433
1512,21027992
1352,21989021
741,20978198
662,20998255
751,21987409
902,21034163
751,21000670
761,21993169
752,21002373
761,20998607
811,22002236
762,20995951
801,21018534
792,21999791
941,21001723
782,20993446
782,22004009
782,20997104
782,21006591
782,21992478
911,20998717
781,21009747
941,21994001
802,20993867
782,21006080
1002,21992508
781,21001412
782,21004948
782,22000573
782,20995450
791,21003306
781,21997477
782,21004347
782,21000159
791,22002517
792,20988427
781,21012172
782,22000352
792,20997895
782,21000911
781,21994652
802,21003305
1072,20983308
782,22019037
741,20997004
741,21000430
732,22001694
732,20991944
971,21005490
912,22002857
791,21002494
791,20997534
792,22001324
792,21002283
792,20995601
791,22002096
792,21000700
791,20998717
791,22002657
1163,21002473
782,20994088
771,22003048
772,20997664
771,20999108
771,22001585
761,20991212
781,20998687
771,21998669
762,21013554
782,20995751
772,21999892
761,21006111
741,21001251
741,21996986
742,20999478
731,21005029
742,21995152
741,21001332
742,21003846
742,21997056
741,20995962
1042,21004167
642,22003558
601,20997665
601,21001041
601,21997958
601,21020287
601,20983799
601,21998629
691,21005840
852,21010879
931,21998690
761,20997765
762,21005218
801,21999251
1162,20999508
742,21000770
1423,22037152
752,20949514
801,21000370
921,22013177
721,20983858
742,20999508
731,21997287
731,21002664
731,21001552
722,21996605
762,21004838
772,20997254
1333,22031311
712,20964472
711,20991984
721,21997628
741,21006461
711,20996152
731,22001364
932,21006040
752,20990842
722,22002316
731,21006101
791,21005550
782,22001153
852,20995411
761,20995791
1613,22006875
832,20996392
852,21002604
761,21989733
761,21016540
751,20995400
761,22002387
761,21001371
751,21000330
782,21998188
832,20987856
741,21016631
742,21985464
841,20989500
812,21014205
831,21995113
801,21016250
812,20999788
832,22002266
802,20997384
811,21000050
801,21999661
1142,21002914
862,21000270
801,21994682
812,21002483
2675,21008335
752,21981657
761,20994289
761,21016961
761,21996846
812,21006040
772,20995761
742,21998088
741,21000761
742,21003365
741,21999141
742,21005088
741,20996142
741,21997748
742,21005589
741,20995661
742,22000683
882,20997655
741,21005159
741,22000062
741,21000430
742,20995510
742,21999651
781,21003416
782,21001291
741,21998790
741,20998867
812,21001041
2344,21988951
1032,20995911
972,21007824
802,21990043
1263,21005730
972,20990501
822,22001996
782,21024575
762,21006802
762,21988370
761,20990311
782,20986674
1072,22011023
1152,20998396
871,21007804
1222,21997617
782,21000730
1173,21002173
732,21995123
782,21004227
942,21001983
881,21993971
902,21009366
1533,20997785
1523,21999431
2896,20992535
772,21011330
832,22008037
752,20991463
792,20992475
771,22011544
842,21005028
812,20985993
732,22010632
752,20999508
732,21002123
752,21997407
741,21003306
732,20988547
741,22002457
1133,21001431
1052,20999799
871,22014059
901,20997975
832,21000269
741,21998199
781,21014166
831,21003145
742,21996735
782,21002564
762,20998336
1552,22006495
741,20994198
2254,21019556
1433,21973171
1042,21006301
742,20990481
1372,22018988
1503,20961546
1042,21014236
611,21990424
841,21011792
1543,21018173
821,21977299
862,21006581
1292,20986434
791,22007767
771,20988457
771,20995671
791,22006845
731,21000991
731,20994278
732,22003979
821,21000240
751,20996132
732,22005181
1022,21006582
731,20987696
881,22001174
752,21006571
1292,21003326
1022,21988079
992,21026068
932,20979611
2004,21994151
731,20992776
702,20999928
702,21998319
842,21002153
721,21003947
741,22005683
722,21008284
732,21002584
701,21992178
712,21007352
801,21010860
981,21988731
902,21006100
802,20991884
722,21992137
651,21008916
771,21029355
731,21969855
731,20999047
761,21029705
921,22003569
841,20992515
802,21004447
751,21999732
801,21000520
1724,21008745
791,21960578
691,21005650
752,21003425
762,21982459
772,20998937
761,20998016
752,21998208
852,21000841
801,21022341
802,21991255
791,21005510
801,21000310
802,21999330
801,21002745
801,21000911
881,21997397
822,20987966
862,21002263
902,22012175
752,21015228
751,21008656
761,22000192
761,21000260
782,20999828
772,22001475
751,20998577
801,21001532
1753,22010662
1904,20992705
812,20998546
782,21998940
762,20998837
771,21000661
762,21972099
741,21028012
731,21036608
731,21956841
741,21004618
922,21008344
792,21973482
681,20993958
792,21002804
771,22025621
762,20999738
741,20989520
1372,21986256
2464,21080691
681,20917113
971,22009450
932,21001582
1002,20991042
742,22017705
721,20982657
732,20997003
682,21995884
732,21024786
831,20989480
702,22030519
622,20966576
601,21000871
601,21994532
591,21001913
711,21007082
622,21995403
711,21001192
711,20991914
742,22031982
741,20976445
711,21001412
631,21995884
631,20998246
721,20995260
671,21990564
701,21015779
631,21004688
631,21992458
632,21002393
612,21003115
611,21999672
641,20995050
771,21000410
731,22005903
671,20993046
651,21004838
662,21998048
752,21029745
1173,20973299
892,21994141
772,21012122
752,20992074
682,21998850
621,21001663
622,21000900
601,21998410
611,20998897
802,21010969
691,21986948
782,21012282
601,20991403
611,22003128
611,20998246
601,21002854
621,21997317
641,21007303
732,20987856
681,22004070
641,21004508
652,20999237
651,21997157
601,20999438
611,21000500
611,21999952
642,21003676
611,20997425
642,22005221
671,20993347
1112,21037139
1232,21977420
651,20992094
621,21035336
831,21977189
1042,21030116
1042,20962278
881,22004360
791,20994900
682,20994498
882,22006665
822,20982165
731,21000671
661,21994381
561,21013114
571,20995170
721,22006204
691,21004738
801,20989059
751,22010341
762,20995390
671,21004649
611,21995874
621,21002283
551,20996292
561,22000303
571,20997635
561,21003395
582,22000603
551,20996483
541,21004538
751,22002787
681,20997675
611,20999538
631,21999301
631,21001712
612,20994829
581,22004641
581,21000541
571,21002273
641,21998409
771,21030767
772,20999368
771,21999121
781,21001742
772,21001782
801,21997448
761,21001602
712,20972497
631,21991747
581,21006491
571,20997014
621,22003729
641,20999418
591,20998436
772,22004801
781,20996994
681,21005229
781,21992598
711,21005800
611,20997404
601,22000003
561,20999317
561,21000571
731,22003258
1313,21017131
812,20969141
791,22013468
721,21000400
762,21015668
752,21983020
751,21031880
772,20997103
741,21973653
792,20999688
691,20998627
711,21998549
632,21003135
641,21001422
651,21996015
691,20992445
792,21010148
671,21999030
761,21018855
731,20979751
731,22006665
752,21024725
751,21001182
762,21998208
751,21001793
751,20996443
732,21975365
732,21001622
731,20997926
752,22001865
802,21001923
651,20999108
752,22003989
762,21024846
772,20999879
732,21971378
782,20994339
741,21007634
752,21997617
691,20999469
781,20996953
792,22001885
732,21002304
711,21002444
751,21997978
762,20999418
661,21003286
712,21997296
762,21000240
761,21002294
771,21996836
671,21000410
631,20999749
671,22000803
661,21004919
701,20999418
701,21995343
732,21001602
652,20998957
692,22003509
661,20990341
682,21010108
761,21999632
782,20999648
761,20999148
682,21990594
651,21009197
701,21000330
681,21998489
651,21000741
772,21002363
792,21999872
752,21003566
711,20996513
621,21996856
762,21006912
712,20996773
692,21997908
701,21001994
772,21029003
762,21972500
741,20995822
752,21006000
752,21998790
751,20998056
1292,21024776
2295,22045978
792,20927593
761,21008125
742,21995443
721,20994750
702,21008244
742,22015341
732,21010419
731,20985312
1082,21997878
771,20997735
691,20999999
741,22008478
